vocab,hotness
tire,1460000000
chain,1420000000
hub,1350000000
front tire,1030000000
rim,807000000
brake,717000000
spoke,663000000
air valve,541000000
kick-stand,529000000
front brake,508000000
rear tire,488000000
grip,470000000
rear brake,467000000
fork,426000000
fender,381000000
pedal,358000000
chain guard,355000000
tire pump,294000000
saddle,238000000
headlight,146000000
handlebar,145000000
gearshift,107000000
brake lever,75800000
baggage carrier,32700000
