vocab,hotness
never,4390000000
recently,2150000000
almost never,1990000000
almost,1930000000
frequently,1720000000
simply,1720000000
sometimes,1310000000
nearly,797000000
generally,793000000
normally,433000000
regularly,427000000
hardly ever,270000000
hardly,240000000
rarely,236000000
partly,222000000
merely,188000000
seldom,66100000
scarcely,36000000
