vocab,hotness
cat,3000000000
horse,1290000000
turkey,1240000000
chicken,929000000
bull,577000000
pig,482000000
duck,402000000
cow,397000000
goat,366000000
sheep,308000000
hen,287000000
lamb,251000000
donkey,214000000
calf,193000000
goose,165000000
rooster,109000000
