vocab,hotness
on,25270000000
to,25270000000
up,25270000000
on top of,18560000000
out,14040000000
over,11710000000
next to,11640000000
off,10290000000
under,6710000000
near,4210000000
outside,2110000000
outside of,2100000000
towards,1640000000
nearby,1610000000
