vocab,hotness
spider,3780000000
fly,1120000000
cricket,740000000
bee,601000000
caterpiller,225000000
insects,152000000
mosquito,150000000
dragonfly,81900000
wasp,62100000
locust,59700000
grasshopper,52300000
cockroach,30800000
cicada,11600000
