vocab,hotness
check in,6950000000
body check,5380000000
security check,3640000000
visa,2940000000
personal effects,1330000000
time difference,1260000000
customs,565000000
time zones,294000000
passport,267000000
departure time,266000000
boarding time,178000000
customs officer,152000000
boarding pass,127000000
immigration counter,84300000
customs declaration,74300000
departure lounge,55300000
baggage claim check,41100000
