,vocab
0,China
1,United States of America
2,India
3,North Korea
4,Russia
5,South Korea
6,Pakistan
7,Iran
8,Turkey
9,Vietnam
10,Myanmar
11,Egypt
12,Taiwan
13,Syria
14,Thailand
15,Ukraine
16,Indonesia
17,Germany
18,Brazil
19,France
20,Ehtiopia
21,Japan
22,Italy
23,United Kingdom
24,Saudi Arabia
25,Morocco
26,Mexico
27,Spain
28,Greece
29,Israel
