,vocab
0,alarm
1,alibi
2,armed
3,bail
4,burglar
5,burglar alarm
6,car alarm
7,gun
8,illegal
9,jail
10,judge
11,knife
12,lawyer
13,lawyer
14,legal
15,police
16,police car
17,prison
18,private detective
19,store detective
20,weapon
