,vocab
0,adjustable wrench
1,ball peen hammer
2,bench saw
3,box end wrench
4,brace
5,C-clamp
6,circular saw
7,drill press
8,electric drill
9,hacksaw
10,hammer
11,hand drill
12,handsaw
13,locking pliers
14,mallet
15,open end wrench
16,plane
17,pliers
18,rib joint pliers
19,router
20,screwdriver
21,vise
