,vocab
0,brandy
1,butter
2,bread
3,candy
4,candy cane
5,Christmas cookies
6,cranberry sauce
7,dressing
8,egg nog
9,fruitcake
10,ham
11,mince meat
12,pie
13,plum pudding
14,pumpkin pie
15,punch
16,sauce
17,spice tea
18,sweet potato
19,turkey
20,white sauce
