,vocab
0,auburn hair
1,bangs
2,beard
3,black hair
4,blond hair
5,brown hair
6,curly hair
7,gray hair
8,kinky hair
9,mustache
10,permanent
11,pigtails
12,platinum blonde hair
13,ponytail
14,red hair
15,sideburns
16,straight hair
17,wavy hair
