,vocab
0,bass
1,carp
2,cod
3,crab
4,crawdad
5,crayfish
6,eel
7,halibut
8,herring
9,lobster
10,oyster
11,perch
12,pike
13,salmon
14,sardine
15,shark
16,shrimp
17,sturgeon
18,tadpole
19,trout
20,tuna
21,swordfish
