,vocab
0,accelerate
1,back up
2,change gears
3,crash
4,de-accelerate
5,fasten seat-belt
6,fill up with gas
7,idle the engine
8,park
9,pass
10,pass
11,push the accelerator
12,push the clutch
13,race
14,run out of gas
15,shift into drive
16,shift into reverse
17,slow down
18,speed up
19,stop
