,vocab
0,Australian Brown Snake
1,Black Mamba
2,Boomslang
3,Coral Snake
4,Death Adder
5,Green Mambas
6,Inland Taipan
7,Malayan Krait
8,Mojave Rattlesnake
9,Saw Scaled Viper
10,Taipan
11,Tiger Snake
