,vocab
0,after
1,afterwards
2,always
3,at the same time as
4,before
5,by and by
6,during
7,earlier than
8,for a long time
9,frequently
10,from time to time
11,in a few minutes
12,in the mornings
13,last week
14,lately
15,later than
16,long ago
17,many times
18,many years ago
19,never
20,now and then
21,occasionally
22,often
23,once in a while
24,once upon a time
25,rarely
26,recently
27,sometimes
28,soon
29,today
30,tomorrow
31,usually
32,yesterday
