,vocab
0,belt
1,blouse
2,boots
3,cap
4,cardigan
5,coat
6,dress
7,gloves
8,hat
9,jacket
10,jeans
11,jumper
12,mini-skirt
13,overalls
14,overcoat
15,pajamas
16,pants
17,pantyhose
18,raincoat
19,scarf
20,shirt
21,shoes
22,shorts
23,skirt
24,slacks
25,slippers
26,socks
27,stockings
28,suit
29,sweat-shirt
30,sweater
31,sweatshirt
32,t-shirt
33,tie
34,trousers
35,underclothes
36,underpants
37,undershirt
38,vest
