,vocab
0,billboard
1,bus
2,bus stop
3,car
4,department store
5,garbage can
6,litter basket
7,neon sign
8,news stand
9,parking meter
10,pedestrian crossing
11,shop window
12,street light
13,street sign
14,subway station
15,taxi stand
16,traffic island
17,traffic light
18,train station
