,vocab
0,bulb dibble
1,dibble
2,garden hoe
3,garden line
4,hedge shears
5,hoe
6,lawn edger
7,lawn rake
8,lopping shears
9,mattock
10,pitch fork
11,post-hole digger
12,pruning shears
13,rake
14,seeder
15,shovel
16,small hand cultivator
17,spade
18,spading fork
19,tree pruner
20,trowel
21,weeder
22,weeding hoe
