,vocab
0,airport
1,apartment building
2,bakery
3,bank
4,barber shop
5,book store
6,bowling alley
7,bus terminal
8,cafe
9,cathedral
10,church
11,cinema
12,convenience store
13,department store
14,fire department
15,gas station
16,hospital
17,house
18,library
19,mosque
20,movie theater
21,museum
22,office building
23,post office
24,restaurant
25,school building
26,shopping mall
27,shrine
28,supermarket
29,temple
30,train station
