,vocab
0,arsonist
1,blackmailer
2,burglar
3,hijacker
4,kidnapper
5,mugger
6,murderer
7,pickpocket
8,robber
9,shoplifter
10,smuggler
11,spy
12,terrorist
13,thief
14,vandal
