,vocab
0,begonia
1,carnation
2,crocus
3,daffodil
4,dahlia
5,daisy
6,foxglove
7,geranium
8,gladiolus
9,hyacinth
10,iris
11,jasmine
12,lilac
13,lily
14,mimosa
15,narcissus
16,orchid
17,pansy
18,peony
19,poppy
20,rose
21,rose
22,sunflower
23,sunflower
24,thistle
25,tulip
26,violet
27,violet
