,vocab
0,Adam's apple
1,bald head
2,cheek
3,chin
4,crow's feet
5,dimple
6,ear
7,eye
8,eyebrow
9,forehead
10,freckles
11,gums
12,head
13,lip
14,lower jaw
15,mole
16,mouth
17,nose
18,pimple
19,temple
20,tongue
21,tooth
22,upper jaw
23,wrinkles
