,vocab
0,bellboy
1,check in
2,check-out
3,coffee shop
4,double room
5,extra bed
6,floor
7,gift shop
8,hotel
9,information desk
10,inn
11,money exchange
12,morning call
13,motel
14,newsstand
15,reservation
16,restaurnat
17,room maid
18,room number
19,room service
20,service charge
21,single room
22,single with bath
23,suite
24,tax
25,tip
26,twin room
27,youth hostel
