,vocab
0,air filter
1,camshaft
2,carburetor
3,cooling fan
4,distributor
5,engine block
6,exhaust manifold
7,fan belt
8,flywheel
9,gasoline pump
10,oil drain hole
11,oil pan
12,oil-level stick
13,piston
14,spark plug cable
15,starter
