,vocab
0,ATM
1,bankbook
2,bills
3,bounced check
4,burglar alarm
5,check
6,checking account
7,coins
8,customer
9,deposit
10,foreign currency rate
11,foreign exchange
12,forgery
13,joint account
14,loan
15,manager
16,money
17,passbook
18,savings account
19,security guard
20,teller
21,time deposit account
22,vault
23,withdrawl
