,vocab
0,April Fools' Day
1,Boxing Day
2,Canada Day
3,Carnival
4,Cinco de Mayo
5,Columbus Day
6,Easter
7,Father's Day
8,Fourth of July
9,Groundhog Day
10,Halloween
11,Hanukkah
12,Labor Day
13,Memorial Day
14,Mother's Day
15,Presidents' Day
16,Saint Patrick's Day
17,Thanksgiving
18,Valentine's Day
19,Veterans Day
20,Yom Kippur
