,vocab
0,arson
1,assault
2,bigamy
3,blackmail
4,bribery
5,burglary
6,child abuse
7,conspiracy
8,espionage
9,forgery
10,fraud
11,genocide
12,hijacking
13,homicide
14,kidnapping
15,manslaughter
16,mugging
17,murder
18,perjury
19,rape
20,riot
21,robbery
22,shoplifting
23,slander
24,smuggling
25,treason
26,trespassing
