,vocab
0,cover
1,fertilize
2,gather
3,hoe
4,mix
5,mulch
6,pick
7,plant
8,plow
9,rake
10,sell
11,shovel
12,sort
13,sow
14,spray
15,thin
16,tie
17,transplant
18,water
