,vocab
0,almost
1,almost never
2,frequently
3,generally
4,hardly
5,hardly ever
6,merely
7,nearly
8,never
9,normally
10,partly
11,rarely
12,recently
13,regularly
14,scarcely
15,seldom
16,simply
17,sometimes
