,vocab
0,apple
1,apricot
2,banana
3,blackberry
4,blueberry
5,cherry
6,cranberry
7,currant
8,fig
9,grape
10,grapefruit
11,grapes
12,kiwi
13,kumquat
14,lemon
15,lime
16,melon
17,nectarine
18,orange
19,peach
20,pear
21,persimmon
22,pineapple
23,plum
24,pomegranate
25,prune
26,raspberry
27,strawberry
28,tangerine
29,watermelon
