,vocab
0,beer
1,brandy
2,cocoa
3,cocktail
4,coffee
5,coke
6,green tea
7,ice coffee
8,ice tea
9,juice
10,lemonade
11,liquor
12,milk
13,milkshake
14,orange juice
15,punch
16,soda
17,soft drink
18,tea
19,tomato juice
20,water
21,whiskey
22,wine
