,vocab
0,bread and butter plate
1,butter dish
2,coffee mug
3,cup
4,fish platter
5,gravy boat and stand
6,pepper shaker
7,platter
8,rim soup bowl
9,salad bowl
10,salad plate
11,salt shaker
12,saucer
13,serving bowl
14,soup bowl
15,sugar bowl
16,tea cup
17,water pitcher
