,vocab
0,amber
1,beige
2,black
3,blue
4,brown
5,crimson
6,cyan
7,grey
8,green
9,indigo
10,khaki
11,light blue
12,magenta
13,orange
14,pink
15,purple
16,red
17,violet
18,violet red
19,white
20,yellow
21,yellow green
