,vocab
0,armchair
1,baby bed
2,bed
3,bookcase
4,cabinet
5,chair
6,chest
7,closet
8,cupboard
9,desk
10,dresser
11,hall stand
12,lamp
13,seat
14,shelf
15,sideboard
16,stool
17,table
