,vocab
0,arrest
1,ban
2,break in
3,break out
4,break the law
5,burgle
6,charge
7,commit a crime
8,escape
9,get away
10,get away with
11,hold up
12,investigate
13,kill
14,murder
15,rob
16,steal
17,strangle
