,vocab
0,ball
1,cap
2,bat
3,batter
4,bunt
5,catch
6,catcher
7,coach
8,curve
9,dugout
10,fence
11,field
12,umpire
13,first baseman
14,foul
15,foul line
16,four ball
17,glove
18,helmet
19,hit
20,home plate
21,inning
22,left fielder
23,major league
24,minor league
25,pitch
26,pitcher
27,right fielder
28,run
29,runner
30,scoreboard
31,second baseman
32,short stop
33,slide
34,steal
35,strike
36,strike out
37,third baseman
38,throw
39,walk
