,vocab
0,apple pie
1,birthday cake
2,cake
3,candy
4,chocolate cake
5,chocolate bar
6,chocolate chip cookie
7,cookies
8,donut
9,doughnuts
10,fruit
11,ice cream
12,muffin
13,pie
14,pie a la mode
15,potato chips
16,pudding
17,sweet rolls
18,whip cream
