,vocab
0,brand
1,bullet
2,corral
3,cowboy boots
4,cowboy hat
5,gun
6,gun belt
7,herd
8,holster
9,horse
10,lasso
11,pistol
12,ranch
13,rifle
14,rodeo
15,saddle
16,stampede
17,ten-gallon hat
