,vocab
0,aardvark
1,bear
2,camel
3,crocodile
4,elephant
5,giraffe
6,kangaroo
7,leopard
8,lion
9,llama
10,monkey
11,ostrich
12,rhinoceros
13,snake
14,tiger
15,wolf
16,zebra
17,anteater
18,armadillo
19,baboon
20,badger
21,beaver
22,cheetah
23,cougar
24,gazelle
25,gorilla
26,ocelot
27,panda
28,panther
29,porcupine
30,wallaby
31,zebra
32,puma
33,lynx
34,bobcat
35,jaguar
36,hyena
37,alligator
