,vocab
0,air valve
1,baggage carrier
2,brake
3,brake lever
4,chain
5,chain guard
6,fender
7,fork
8,front brake
9,front tire
10,gearshift
11,grip
12,handlebar
13,headlight
14,hub
15,kick-stand
16,pedal
17,rear brake
18,rear tire
19,rim
20,saddle
21,spoke
22,tire
23,tire pump
