,vocab
0,albatross
1,buzzard
2,chick
3,condor
4,cormorant
5,crow
6,crow
7,drake
8,duck
9,duckling
10,eagle
11,gander
12,goose
13,gosling
14,grouse
15,hawk
16,hen
17,heron
18,partridge
19,pelican
20,pheasant
21,ptarmigan
22,puffin
23,quail
24,raven
25,seagull
26,sparrow
27,swallow
28,swan
29,turkey
30,vulture
