,vocab
0,blade
1,brisket
2,chuck short rib
3,cross rib
4,flank
5,neck
6,plate
7,porterhouse
8,rib eye
9,shank
10,short ribs
11,shoulder
12,sirloin
13,sirloin tip
14,strip loin
15,T-bone
16,tenderloin
17,wing
