,vocab
0,bay
1,beach
2,cave
3,creek
4,desert
5,earth
6,forest
7,hill
8,island
9,lake
10,mountain
11,ocean
12,peak
13,plain
14,pond
15,river
16,riverbed
17,sea
18,stream
19,swamp
20,valley
21,waterfall
22,woods
