,vocab
0,aunt
1,brother
2,cousin
3,daughter
4,father
5,granddaughter
6,grandmother
7,grandson
8,mother
9,nephew
10,niece
11,sister
12,son
13,stepdaughter
14,stepmother
15,stepson
16,uncle
