,vocab
0,amber
1,beige
2,black
3,blue
4,brown
5,crimson
6,cyan
7,gray
8,green
9,indigo
10,khaki
11,light blue
12,orange
13,pink
14,purple
15,red
16,violet
17,violet red
18,white
19,yellow
20,yellow green
