,vocab
0,floor tile
1,asphalt shingle
2,wood shingle
3,foam insulation
4,fiberglass insulation
5,cement
6,plaster
7,particle board
8,perforated hardboard
9,wood
10,plywood
11,plasterboard
12,metal lath
13,flooring
14,ceiling tile
