,vocab
0,ambulance
1,arson
2,fire
3,fire alarm box
4,fire chief
5,fire department
6,fire escape
7,fire extinguisher
8,fire hydrant
9,fireman
10,flame
11,hook and ladder truck
12,hose
13,oxygen mask
14,parachute
15,search light
16,smoke
17,smoke jumper
18,victim
19,volunteer fire-department
20,wrecking bar
